date,precipitation,temp_max,temp_min,wind,weather
2013-04-17,0,15,3.9,3.3,drizzle
2013-03-08,0,11.7,2.2,2.6,drizzle
2012-09-20,0,19.4,10,2.5,drizzle
2015-07-08,0,30,14.4,1.9,drizzle
2013-01-20,0,3.3,-0.6,2.1,drizzle
2015-07-06,0,29.4,15.6,3.2,drizzle
2012-04-28,0,16.1,8.3,2.5,drizzle
2012-09-20,0,19.4,10,2.5,drizzle
2015-06-15,0,30,16.1,3.5,drizzle
2012-09-20,0,19.4,10,2.5,drizzle
2013-02-15,0,13.3,5,2.4,drizzle
2012-12-31,0,3.3,-1.1,2,drizzle
2013-01-16,0,6.1,-3.9,1.8,drizzle
2013-01-17,0,3.9,-2.8,1,drizzle
2013-03-08,0,11.7,2.2,2.6,drizzle
2015-06-15,0,30,16.1,3.5,drizzle
2013-01-20,0,3.3,-0.6,2.1,drizzle
2013-03-30,0,20,5.6,4.4,drizzle
2013-01-17,0,3.9,-2.8,1,drizzle
2012-07-28,0,22.2,13.3,1.7,drizzle
2012-06-24,0,19.4,9.4,2,drizzle
2012-09-21,0,16.1,12.8,2.1,drizzle
2012-07-28,0,22.2,13.3,1.7,drizzle
2015-06-15,0,30,16.1,3.5,drizzle
2013-01-20,0,3.3,-0.6,2.1,drizzle
2013-01-17,0,3.9,-2.8,1,drizzle
2014-10-22,32,15.6,11.7,5,rain
2015-10-12,4.6,18.3,10.6,2.8,rain
2012-12-27,4.1,7.8,3.3,3.2,rain
2013-03-28,2,16.1,8.3,1.3,rain
2015-03-11,2.5,14.4,8.9,3.1,rain
2015-03-11,2.5,14.4,8.9,3.1,rain
2015-01-23,5.8,12.2,8.3,2.6,rain
2013-01-06,2,7.2,2.8,3,rain
2012-12-03,13,9.4,7.2,4.4,rain
2014-11-24,1.3,11.7,4.4,3.8,rain
2015-01-17,26.2,13.3,3.3,2.8,rain
2015-10-31,33,15.6,11.7,7.2,rain
2013-04-08,0.8,13.3,6.1,3.1,rain
2013-02-16,0,11.1,3.9,5.6,rain
2015-01-10,5.8,7.8,6.1,0.5,rain
2013-01-05,3,6.7,4.4,3.1,rain
2015-01-17,26.2,13.3,3.3,2.8,rain
2014-06-16,3.6,17.8,8.9,2.4,rain
2014-01-09,5.8,9.4,5.6,6.3,rain
2012-12-27,4.1,7.8,3.3,3.2,rain
2012-12-03,13,9.4,7.2,4.4,rain
2015-03-25,5.1,14.4,7.2,4.4,rain
2014-01-31,2.3,7.8,5.6,2.6,rain
2012-05-30,0.3,18.9,11.1,1.5,rain
2014-10-11,7.4,18.3,11.7,3.5,rain
2014-07-22,0.3,21.1,13.3,1.1,rain
2013-06-22,0,25.6,11.7,1.7,sun
2014-09-01,0,23.3,12.8,2.5,sun
2015-07-18,0,33.3,17.8,3.4,sun
2012-08-23,0,21.1,13.9,3.8,sun
2013-05-10,0,26.1,9.4,1,sun
