date,precipitation,temp_max,temp_min,wind,weather,humidity
2013-04-17,0.0,15.0,3.9,3.3,drizzle,68
2013-03-08,0.0,11.7,2.2,2.6,drizzle,82
2012-09-20,0.0,19.4,10.0,2.5,drizzle,69
2015-07-08,0.0,30.0,14.4,1.9,drizzle,62
2013-01-20,0.0,3.3,-0.6,2.1,drizzle,82
2015-07-06,0.0,29.4,15.6,3.2,drizzle,49
2012-04-28,0.0,16.1,8.3,2.5,drizzle,75
2012-09-20,0.0,19.4,10.0,2.5,drizzle,69
2015-06-15,0.0,30.0,16.1,3.5,drizzle,53
2012-09-20,0.0,19.4,10.0,2.5,drizzle,69
2013-02-15,0.0,13.3,5.0,2.4,drizzle,88
2012-12-31,0.0,3.3,-1.1,2.0,drizzle,82
2013-01-16,0.0,6.1,-3.9,1.8,drizzle,83
2013-01-17,0.0,3.9,-2.8,1.0,drizzle,83
2013-03-08,0.0,11.7,2.2,2.6,drizzle,82
2015-06-15,0.0,30.0,16.1,3.5,drizzle,53
2013-01-20,0.0,3.3,-0.6,2.1,drizzle,82
2013-03-30,0.0,20.0,5.6,4.4,drizzle,80
2013-01-17,0.0,3.9,-2.8,1.0,drizzle,83
2012-07-28,0.0,22.2,13.3,1.7,drizzle,73
2012-06-24,0.0,19.4,9.4,2.0,drizzle,75
2012-09-21,0.0,16.1,12.8,2.1,drizzle,80
2012-07-28,0.0,22.2,13.3,1.7,drizzle,73
2015-06-15,0.0,30.0,16.1,3.5,drizzle,53
2013-01-20,0.0,3.3,-0.6,2.1,drizzle,82
2013-01-17,0.0,3.9,-2.8,1.0,drizzle,83
2014-10-22,32.0,15.6,11.7,5.0,rain,92
2015-10-12,4.6,18.3,10.6,2.8,rain,79
2012-12-27,4.1,7.8,3.3,3.2,rain,95
2013-03-28,2.0,16.1,8.3,1.3,rain,79
2015-03-11,2.5,14.4,8.9,3.1,rain,86
2015-03-11,2.5,14.4,8.9,3.1,rain,86
2015-01-23,5.8,12.2,8.3,2.6,rain,90
2013-01-06,2.0,7.2,2.8,3.0,rain,92
2012-12-03,13.0,9.4,7.2,4.4,rain,93
2014-11-24,1.3,11.7,4.4,3.8,rain,91
2015-01-17,26.2,13.3,3.3,2.8,rain,90
2015-10-31,33.0,15.6,11.7,7.2,rain,91
2013-04-08,0.8,13.3,6.1,3.1,rain,79
2013-02-16,0.0,11.1,3.9,5.6,rain,90
2015-01-10,5.8,7.8,6.1,0.5,rain,93
2013-01-05,3.0,6.7,4.4,3.1,rain,84
2015-01-17,26.2,13.3,3.3,2.8,rain,90
2014-06-16,3.6,17.8,8.9,2.4,rain,77
2014-01-09,5.8,9.4,5.6,6.3,rain,91
2012-12-27,4.1,7.8,3.3,3.2,rain,95
2012-12-03,13.0,9.4,7.2,4.4,rain,93
2015-03-25,5.1,14.4,7.2,4.4,rain,94
2014-01-31,2.3,7.8,5.6,2.6,rain,91
2012-05-30,0.3,18.9,11.1,1.5,rain,68
2014-10-11,7.4,18.3,11.7,3.5,rain,87
2014-07-22,0.3,21.1,13.3,1.1,rain,81
2013-06-22,0.0,25.6,11.7,1.7,sun,66
2014-09-01,0.0,23.3,12.8,2.5,sun,72
2015-07-18,0.0,33.3,17.8,3.4,sun,50
2012-08-23,0.0,21.1,13.9,3.8,sun,67
2013-05-10,0.0,26.1,9.4,1.0,sun,70
2014-08-16,0.0,25.6,15.6,2.2,sun,77
2014-07-31,0.0,30.6,17.8,4.1,sun,55
2012-08-12,0.0,30.6,15.0,3.0,sun,64
2014-03-23,0.0,12.8,4.4,3.3,sun,75
2014-04-13,0.0,20.6,5.6,3.1,sun,69
2013-07-14,0.0,27.8,12.8,3.0,sun,54
2014-08-28,0.0,23.3,14.4,2.3,sun,73
2014-08-28,0.0,23.3,14.4,2.3,sun,73
2015-06-22,0.0,25.0,12.8,2.4,sun,60
2012-07-29,0.0,22.8,15.0,2.0,sun,74
2015-03-05,0.0,13.3,2.8,1.3,sun,72
2014-04-07,0.0,21.1,9.4,2.5,sun,78
2012-08-08,0.0,22.2,15.0,3.1,sun,66
2013-03-23,0.0,10.0,1.1,2.6,sun,68
2014-07-20,0.0,19.4,14.4,2.8,sun,76
2014-09-30,0.0,19.4,12.2,2.6,sun,85
2013-10-23,0.0,12.8,6.1,0.4,sun,86
2012-09-30,0.0,21.1,7.8,3.1,sun,69
2012-02-02,0.0,8.3,1.7,2.6,sun,82
2013-03-03,0.0,11.1,2.2,2.8,sun,79
2013-06-10,0.0,21.7,11.7,3.2,sun,64
2014-02-08,5.1,5.6,-0.5,4.6,snow,46
2012-01-18,19.8,0.0,-2.8,5.0,snow,86
2012-12-16,22.6,6.7,3.3,5.5,snow,93
2012-12-15,5.3,4.4,0.6,5.1,snow,83
2012-01-20,13.5,7.2,-1.1,2.3,snow,87
2012-01-17,8.1,3.3,0.0,5.6,snow,89
2012-03-13,9.4,5.6,0.6,5.3,snow,84
2014-02-08,5.1,5.6,-0.5,4.6,snow,46
2012-01-20,13.5,7.2,-1.1,2.3,snow,87
2012-03-13,9.4,5.6,0.6,5.3,snow,84
2012-12-16,22.6,6.7,3.3,5.5,snow,93
2012-01-20,13.5,7.2,-1.1,2.3,snow,87
2012-01-20,13.5,7.2,-1.1,2.3,snow,87
2012-12-15,5.3,4.4,0.6,5.1,snow,83
2012-01-20,13.5,7.2,-1.1,2.3,snow,87
2012-02-26,1.3,5.0,-1.1,3.4,snow,76
2012-01-20,13.5,7.2,-1.1,2.3,snow,87
2012-12-16,22.6,6.7,3.3,5.5,snow,93
2012-12-16,22.6,6.7,3.3,5.5,snow,93
2012-01-20,13.5,7.2,-1.1,2.3,snow,87
2012-01-20,13.5,7.2,-1.1,2.3,snow,87
2012-01-19,15.2,-1.1,-2.8,1.6,snow,90
2012-01-15,5.3,1.1,-3.3,3.2,snow,85
2012-01-17,8.1,3.3,0.0,5.6,snow,89
2012-12-16,22.6,6.7,3.3,5.5,snow,93
2012-12-16,22.6,6.7,3.3,5.5,snow,93
2015-07-27,0.0,23.3,12.2,1.9,fog,70
2014-10-09,0.0,17.2,11.1,1.0,fog,84
2014-09-20,0.0,24.4,14.4,4.4,fog,78
2015-06-30,0.0,30.6,15.0,3.4,fog,61
2015-02-16,0.0,15.0,5.6,6.6,fog,77
2015-01-20,0.0,10.0,3.3,3.0,fog,89
2015-09-30,0.0,18.3,10.0,1.3,fog,80
2015-10-08,0.0,18.9,13.3,1.1,fog,92
2015-11-20,0.0,8.3,0.6,4.0,fog,79
2015-10-23,0.0,12.8,7.2,2.6,fog,81
2015-01-06,0.0,12.2,6.1,1.3,fog,96
2015-11-20,0.0,8.3,0.6,4.0,fog,79
2015-10-02,0.0,15.6,10.0,2.9,fog,84
2015-10-02,0.0,15.6,10.0,2.9,fog,84
2015-01-12,0.0,11.1,4.4,1.6,fog,91
2014-09-20,0.0,24.4,14.4,4.4,fog,78
2012-07-11,0.0,27.8,13.3,2.9,fog,71
2015-05-20,0.0,23.3,10.6,1.8,fog,75
2013-10-16,0.0,12.8,8.9,2.7,fog,84
2013-07-22,0.0,26.1,13.3,2.4,fog,69
2014-09-20,0.0,24.4,14.4,4.4,fog,78
2015-01-06,0.0,12.2,6.1,1.3,fog,96
2015-10-02,0.0,15.6,10.0,2.9,fog,84
2015-09-21,0.0,18.3,9.4,2.7,fog,73
2014-09-20,0.0,24.4,14.4,4.4,fog,78
2013-10-16,0.0,12.8,8.9,2.7,fog,84
